FIPStxt,Stabr,Area_name,POVALL_2019,per_pov2019
0,US,United States,"39,490,096",12.3
1000,AL,Alabama,"747,478",15.6
1001,AL,Autauga County,"6,723",12.1
1003,AL,Baldwin County,"22,360",10.1
1005,AL,Barbour County,"5,909",27.1
1007,AL,Bibb County,"4,101",20.3
1009,AL,Blount County,"9,324",16.3
1011,AL,Bullock County,"2,537",30.0
1013,AL,Butler County,"4,124",21.6
1015,AL,Calhoun County,"18,988",17.2
1017,AL,Chambers County,"6,415",19.6
1019,AL,Cherokee County,"4,121",15.9
1021,AL,Chilton County,"7,044",16.0
1023,AL,Choctaw County,"2,811",22.6
1025,AL,Clarke County,"4,281",18.4
1027,AL,Clay County,"2,156",16.6
1029,AL,Cleburne County,"1,945",13.3
1031,AL,Coffee County,"7,734",15.0
1033,AL,Colbert County,"7,998",14.6
1035,AL,Conecuh County,"2,662",22.2
1037,AL,Coosa County,"1,789",17.1
1039,AL,Covington County,"6,269",17.2
1041,AL,Crenshaw County,"2,289",16.8
1043,AL,Cullman County,"10,088",12.2
1045,AL,Dale County,"8,727",18.1
1047,AL,Dallas County,"9,533",26.0
1049,AL,DeKalb County,"12,848",18.2
1051,AL,Elmore County,"8,753",11.4
1053,AL,Escambia County,"6,980",20.5
1055,AL,Etowah County,"18,801",18.8
1057,AL,Fayette County,"2,721",17.0
1059,AL,Franklin County,"4,989",16.1
1061,AL,Geneva County,"4,180",16.1
1063,AL,Greene County,"2,553",31.7
1065,AL,Hale County,"2,956",20.5
1067,AL,Henry County,"2,919",17.2
1069,AL,Houston County,"20,207",19.4
1071,AL,Jackson County,"7,481",14.7
1073,AL,Jefferson County,"104,288",16.2
1075,AL,Lamar County,"2,070",15.3
1077,AL,Lauderdale County,"14,193",15.7
1079,AL,Lawrence County,"5,773",17.7
1081,AL,Lee County,"24,731",15.5
1083,AL,Limestone County,"11,535",12.0
1085,AL,Lowndes County,"2,555",26.6
1087,AL,Macon County,"4,817",29.3
1089,AL,Madison County,"41,789",11.5
1091,AL,Marengo County,"4,601",24.8
1093,AL,Marion County,"4,883",16.9
1095,AL,Marshall County,"14,989",15.7
1097,AL,Mobile County,"71,784",17.7
1099,AL,Monroe County,"4,770",23.3
1101,AL,Montgomery County,"34,268",15.8
1103,AL,Morgan County,"16,146",13.7
1105,AL,Perry County,"2,778",33.9
1107,AL,Pickens County,"4,380",24.3
1109,AL,Pike County,"6,742",21.8
1111,AL,Randolph County,"3,906",17.5
1113,AL,Russell County,"10,823",18.9
1115,AL,St. Clair County,"9,780",11.2
1117,AL,Shelby County,"13,428",6.2
1119,AL,Sumter County,"4,195",36.4
1121,AL,Talladega County,"13,326",17.4
1123,AL,Tallapoosa County,"6,341",16.0
1125,AL,Tuscaloosa County,"32,226",16.2
1127,AL,Walker County,"10,837",17.3
1129,AL,Washington County,"2,998",18.6
1131,AL,Wilcox County,"3,329",32.5
1133,AL,Winston County,"3,882",16.7
2000,AK,Alaska,"73,033",10.2
