FIPS_Code,State,Area_name,unemployment2020,med_income2019
00000,US,United States,8.1,65712.00
01000,AL,Alabama,5.9,51771.00
01001,AL,"Autauga County, AL",4.9,58233.00
01003,AL,"Baldwin County, AL",5.6,59871.00
01005,AL,"Barbour County, AL",7.0,35972.00
01007,AL,"Bibb County, AL",6.6,47918.00
01009,AL,"Blount County, AL",4.1,52902.00
01011,AL,"Bullock County, AL",5.5,31906.00
01013,AL,"Butler County, AL",8.8,39944.00
01015,AL,"Calhoun County, AL",7.1,47747.00
01017,AL,"Chambers County, AL",6.8,42015.00
01019,AL,"Cherokee County, AL",4.6,45982.00
01021,AL,"Chilton County, AL",5.0,49692.00
01023,AL,"Choctaw County, AL",6.7,39808.00
01025,AL,"Clarke County, AL",9.0,43822.00
01027,AL,"Clay County, AL",4.0,40562.00
01029,AL,"Cleburne County, AL",4.6,51276.00
01031,AL,"Coffee County, AL",4.4,57299.00
01033,AL,"Colbert County, AL",6.6,46683.00
01035,AL,"Conecuh County, AL",7.3,41539.00
01037,AL,"Coosa County, AL",5.5,42024.00
01039,AL,"Covington County, AL",4.9,44836.00
01041,AL,"Crenshaw County, AL",5.7,43309.00
01043,AL,"Cullman County, AL",4.3,50897.00
01045,AL,"Dale County, AL",4.9,45120.00
01047,AL,"Dallas County, AL",10.7,34034.00
01049,AL,"DeKalb County, AL",4.5,44277.00
01051,AL,"Elmore County, AL",4.9,62310.00
01053,AL,"Escambia County, AL",6.0,42712.00
01055,AL,"Etowah County, AL",7.7,43047.00
01057,AL,"Fayette County, AL",5.0,44212.00
01059,AL,"Franklin County, AL",4.4,44874.00
01061,AL,"Geneva County, AL",4.1,43089.00
01063,AL,"Greene County, AL",10.9,28699.00
01065,AL,"Hale County, AL",9.4,40745.00
01067,AL,"Henry County, AL",4.8,48597.00
01069,AL,"Houston County, AL",5.4,50138.00
01071,AL,"Jackson County, AL",5.3,44322.00
01073,AL,"Jefferson County, AL",6.2,54127.00
01075,AL,"Lamar County, AL",4.9,42686.00
01077,AL,"Lauderdale County, AL",5.5,48188.00
01079,AL,"Lawrence County, AL",4.9,47797.00
01081,AL,"Lee County, AL",5.2,54160.00
01083,AL,"Limestone County, AL",4.3,64729.00
01085,AL,"Lowndes County, AL",13.3,33930.00
01087,AL,"Macon County, AL",9.6,34281.00
01089,AL,"Madison County, AL",4.6,68609.00
01091,AL,"Marengo County, AL",6.2,38838.00
01093,AL,"Marion County, AL",5.1,44675.00
01095,AL,"Marshall County, AL",4.2,48913.00
01097,AL,"Mobile County, AL",7.9,49492.00
01099,AL,"Monroe County, AL",8.2,40005.00
01101,AL,"Montgomery County, AL",7.8,52711.00
01103,AL,"Morgan County, AL",4.5,54355.00
01105,AL,"Perry County, AL",10.9,29572.00
01107,AL,"Pickens County, AL",6.5,40249.00
01109,AL,"Pike County, AL",4.9,41271.00
01111,AL,"Randolph County, AL",4.7,42922.00
01113,AL,"Russell County, AL",5.1,43670.00
01115,AL,"St. Clair County, AL",4.9,65403.00
01117,AL,"Shelby County, AL",3.9,77801.00
01119,AL,"Sumter County, AL",7.0,29209.00
01121,AL,"Talladega County, AL",7.0,47719.00
01123,AL,"Tallapoosa County, AL",6.9,47100.00
01125,AL,"Tuscaloosa County, AL",6.6,52307.00
01127,AL,"Walker County, AL",5.8,45991.00
01129,AL,"Washington County, AL",8.0,48864.00
01131,AL,"Wilcox County, AL",14.7,30998.00
01133,AL,"Winston County, AL",4.7,40827.00
02000,AK,Alaska,7.8,77203.00
02013,AK,"Aleutians East Borough, AK",4.0,66923.00
